nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0002030,George Cukor,1899,1983,"director,miscellaneous,assistant_director","tt0058385,tt0036855,tt0032904,tt0050631"
nm0002031,Michael Curtiz,1886,1962,"director,writer,actor","tt0034583,tt0029843,tt0026174,tt0037913"
nm0002042,Charles Dickens,1812,1870,"writer,miscellaneous,soundtrack","tt0038574,tt23733776,tt0096061,tt0095776"
nm0002061,Maurice Elvey,1887,1967,"director,producer,writer","tt0325470,tt0325379,tt0023145,tt0017998"
nm0002118,Alan Hale,1892,1950,"actor,director,soundtrack","tt0029843,tt0025316,tt0029842,tt0033028"
nm0002133,Ernest Hemingway,1899,1961,"writer,actor,archive_footage","tt0037382,tt0038669,tt0035896,tt32060803"
nm0002154,Alfred Abel,1879,1937,"actor,director,miscellaneous","tt0017136,tt0013086,tt0021128,tt0013496"
nm0002158,Edvin Adolphson,1893,1979,"actor,director,writer","tt0036012,tt0026366,tt0035029,tt0024726"
nm0002165,Marc Allégret,1900,1973,"director,writer,art_director","tt0030100,tt0044385,tt0045942,tt0048103"
nm0002177,Oscar Apfel,1878,1938,"actor,director,writer","tt0022382,tt0004635,tt0021873,tt0006403"
nm0002179,George Archainbaud,1890,1959,"director,assistant_director,writer","tt0013463,tt0037742,tt0013944,tt0030229"
nm0002183,George Arliss,1868,1946,"actor,writer,soundtrack","tt0019823,tt0020938,tt0021595,tt0025272"
nm0002188,Dorothy Arzner,1897,1979,"director,writer,editor","tt0023891,tt0023213,tt0017865,tt0028661"
nm0002190,Anthony Asquith,1902,1968,"director,writer,actor","tt0043362,tt0030637,tt0052033,tt0038238"
nm0002193,Claude Autant-Lara,1901,2000,"director,writer,costume_designer","tt0038476,tt0049877,tt0047432,tt0045569"
nm0002209,John McDermott,1893,1946,"actor,writer,director","tt0017084,tt0012559,tt0024993,tt0018381"
nm0002233,Erich von Stroheim,1885,1957,"actor,writer,director","tt0043014,tt0028950,tt0019558,tt0009937"
nm0002271,Rex Ingram,1892,1950,"director,actor,writer","tt0006740,tt0014440,tt0017103,tt0013710"
nm0002316,Alice D.G. Miller,1894,1985,writer,"tt0023951,tt0019501,tt0017509,tt0028207"
nm0002317,Alice Duer Miller,1874,1942,"writer,actress,miscellaneous","tt0026942,tt0044855,tt0032205,tt0027457"
nm0002489,Karl Anton,1898,1979,"director,writer,producer","tt0033878,tt0038835,tt0036541,tt0034816"
