tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt0024053,movie,A Certain Mr. Gran,Ein gewisser Herr Gran,0,1933,\N,101,"Action,Adventure,Drama",nm0483944,"nm0563030,nm0954135",6.4,59
tt0024054,movie,The Ghost Camera,The Ghost Camera,0,1933,\N,66,"Comedy,Crime,Mystery",nm0615868,"nm0267537,nm0575197",6.2,625
tt0024055,movie,The Ghoul,The Ghoul,0,1933,\N,80,"Action,Drama,Horror",nm0403054,"nm0454718,nm0385693,nm0675729,nm0877660,nm0236128",5.8,3690
tt0024056,movie,Giallo,Giallo,0,1934,\N,68,Thriller,nm0131460,"nm0131460,nm0812827,nm0908624",6.2,63
tt0024057,short,Giantland,Giantland,0,1933,\N,8,"Animation,Comedy,Family",nm0319013,\N,6.9,502
tt0024058,movie,Giftasvuxna döttrar,Giftasvuxna döttrar,0,1933,\N,89,Drama,nm0909436,nm0909436,4.9,22
tt0024059,movie,Gigolettes of Paris,Gigolettes of Paris,0,1933,\N,64,"Drama,Romance",nm0551536,"nm0281213,nm0551536",5.5,97
tt0024060,movie,Gion matsuri,Gion matsuri,0,1933,\N,68,Drama,nm0003226,"nm0442736,nm0003226",8.0,18
tt0024062,movie,Girl Missing,Girl Missing,0,1933,\N,69,"Comedy,Crime,Mystery",nm0282984,"nm0259022,nm0611920,nm0548993",6.7,578
tt0024063,movie,Girl Without a Room,Girl Without a Room,0,1933,\N,78,Comedy,nm0614634,"nm0083125,nm0124918,nm0482011",6.2,97
tt0024064,movie,The Girl from Maxim's,The Girl from Maxim's,0,1933,\N,79,"Comedy,Musical,Romance",nm0466099,"nm0275492,nm0334068,nm0934497",6.0,12
tt0024065,movie,The Girl in 419,The Girl in 419,0,1933,\N,67,"Comedy,Crime,Drama","nm0355284,nm0814118","nm0299154,nm0729694,nm0781719,nm0938439",6.1,113
tt0024067,movie,Going Hollywood,Going Hollywood,0,1933,\N,78,"Musical,Romance",nm0909825,"nm0829330,nm0547966",6.1,2023
tt0024069,movie,Gold Diggers of 1933,Gold Diggers of 1933,0,1933,\N,97,"Comedy,Drama,Musical",nm0503777,"nm0312510,nm0786827,nm0091200,nm0548993,nm0394479",7.7,9826
tt0024071,movie,Golden Harvest,Golden Harvest,0,1933,\N,72,Drama,nm0614634,"nm0701233,nm0732452",7.1,73
tt0024072,movie,Goldie Gets Along,Goldie Gets Along,0,1933,\N,68,"Comedy,Drama,Romance",nm0820461,"nm0237033,nm0403606",4.9,174
tt0024073,movie,The Good Companions,The Good Companions,0,1933,\N,95,"Comedy,Musical,Romance",nm0767701,"nm0198202,nm0461241,nm0513744,nm0534191,nm0697362",6.8,253
tt0024074,short,Good Housewrecking,Good Housewrecking,0,1933,\N,20,"Comedy,Short",nm0842257,"nm0842257,nm0191897,nm0905937,nm0917394",6.1,31
