nconst	tconst
nm0732877	tt0057427
nm12681579	tt10262648
nm0584575	tt0292644
nm0584575	tt0127723
nm0584575	tt0179116
nm6807369	tt6108090
nm6807369	tt33305312
nm6807369	tt3802576
nm6807369	tt7027278
nm9681752	tt5727208
nm9681752	tt20990442
nm9681752	tt28249919
nm9681752	tt11525644
nm0268230	tt0058213
nm0268230	tt0056687
nm0006085	tt0043278
nm0006085	tt0045152
nm0006085	tt0110413
nm0006085	tt0053125
nm0232924	tt2088003
nm0232924	tt0087884
nm0232924	tt0107756
nm10076563	tt32495687
nm10076563	tt28288786
nm0155201	tt0266697
nm0155201	tt0118708
nm0000728	tt0078875
nm0000728	tt0065143
nm3893742	tt7693316
nm0005848	tt0098105
nm0005848	tt0075612
nm1719342	tt1067774
nm1719342	tt0435670
nm0259712	tt0409904
nm0259712	tt0403358
nm3319289	tt10287954
nm0123842	tt0076752
nm0123842	tt0063850
nm0005983	tt0073707
nm0005983	tt33014583
nm1589004	tt2235108
nm1589004	tt0337563
nm0898782	tt0077681
nm0516181	tt0330373
nm0516181	tt0067093
nm0516181	tt1340800
nm2986811	tt2389182
nm0915192	tt1313092
nm0915192	tt7984766
nm0915192	tt1996310
nm0915192	tt2345737
nm10293260	tt27719898
nm4049424	tt6738136
nm1000465	tt7286456
nm1000465	tt2278388
nm1000465	tt0083658
nm1000465	tt0945513
nm3559009	tt5029608
nm3559009	tt5311542
nm3559009	tt2650978
nm3518982	tt8623904
nm2976492	tt5311514
nm2976492	tt5323662
nm6525945	tt2377322
nm3815139	tt1605717
nm0827621	tt0247199
nm0557929	tt0096933
nm1737831	tt8760684
nm10731411	tt8114980
nm0466863	tt0082933
nm0186569	tt0070460
nm0444091	tt0155267
nm0444091	tt0103855
nm0444091	tt0099077
nm10133817	tt10344522
nm4301796	tt1571222
nm0796112	tt0106333
nm0302403	tt0086465
nm0394244	tt0023622
nm0394244	tt0022835
nm3117921	tt4106514
nm0809006	tt0852713
nm0809006	tt0147800
nm0809006	tt1142988
nm0081751	tt0118880
nm0081751	tt0107302
nm0081751	tt0083530
nm0331098	tt0086541
nm0411113	tt0118708
nm0084039	tt0078966
nm0084039	tt0104073
nm0626535	tt0092272
nm0241374	tt0120889
nm0241374	tt0099582
nm0241374	tt0114614
nm0241374	tt0107362
nm0795711	tt0088161
nm0795711	tt0104452
nm0795711	tt0067309
nm0688585	tt0108500
nm0688585	tt0189192
nm4000521	tt1596363
nm4000521	tt22408160
nm0836715	tt2101473
nm0836715	tt0844457
nm9006409	tt14376344
nm0644627	tt1862079
nm0227870	tt1285309
nm3192510	tt13131232
nm3192510	tt1010048
nm0080181	tt0100095
nm0080181	tt10152736
nm0080181	tt8960382
nm1155311	tt1702014
nm0295357	tt0092106
nm0653748	tt1596345
nm0653748	tt1756750
nm0653748	tt6866224
nm0258908	tt1233381
nm0258908	tt0498097
nm4810022	tt14331144
nm2676291	tt27196021
nm7838211	tt3722070
nm0001376	tt3716530
nm0001376	tt0254686
nm0001376	tt0283832
nm0001376	tt4120176
nm1779186	tt1562872
nm0531529	tt0082307
nm0531529	tt0401445
nm0875705	tt0080057
nm0875705	tt0067140
nm0875705	tt0064116
nm6846971	tt6710474
nm0236985	tt0086960
nm0236985	tt0086383
nm1119539	tt0338763
nm0809956	tt1435513
nm0943859	tt0059646
nm0943859	tt0064072
nm0943859	tt0065207
nm0943859	tt0063285
nm0918334	tt0103639
nm2256017	tt1702439
nm2256017	tt0879870
nm0127788	tt0067927
nm0973731	tt0381940
nm0973731	tt7125774
nm0416524	tt0337909
nm0416524	tt0988045
nm0416524	tt1334512
nm0416524	tt1515091
nm1244840	tt0944835
nm7424844	tt5990474
nm0551185	tt0091630
nm16769314	tt23770030
nm1836720	tt13007592
nm4445285	tt30057084
nm4445285	tt3721936
nm4445285	tt4263482
nm4445285	tt10944760
nm1070674	tt6587046
nm1070674	tt0104652
nm1070674	tt0119698
nm1070674	tt0495596
nm0000070	tt0031381
nm0000070	tt0034583
nm0000070	tt0040897
nm0000070	tt0036613
nm3140910	tt8108198
nm3140910	tt7430722
nm3140910	tt1187043
nm3140910	tt19755170
nm2221249	tt23558280
nm2221249	tt10451914
nm2221249	tt3256226
nm2221249	tt5208252
nm13658940	tt19704638
nm4827781	tt8178634
nm1644123	tt3775086
nm0173684	tt0314067
nm0331516	tt1120985
nm0331516	tt3783958
nm0331516	tt0780504
nm0331516	tt0332280
nm1021135	tt14109724
nm2618735	tt1531663
nm0175091	tt0028691
nm1371025	tt0490084
nm1371025	tt0281686
nm1371025	tt0326856
nm1371025	tt0364955
nm1188199	tt2203308
nm1188199	tt5165344
nm1188199	tt6826438
nm0200455	tt0095444
nm0200455	tt0075029
nm0200455	tt0049513
nm0200455	tt0048750
nm0134508	tt0401383
nm0134508	tt3567288
nm0134508	tt1637706
nm0134508	tt0110997
nm3651588	tt6788942
nm1315333	tt0310281
nm0000441	tt0088323
nm5387559	tt27131358
nm5387559	tt1893273
nm0948714	tt0038854
nm1147685	tt0243017
nm1090208	tt0227984
nm1090208	tt0120820
nm0449493	tt0025878
nm1138590	tt0252444
nm1138590	tt3860916
nm10410322	tt7134096
nm0860828	tt0053131
nm0166359	tt0084335
nm0166359	tt0365737
nm0166359	tt0084787
nm0166359	tt2267998
nm1027678	tt0351977
nm1027678	tt3450958
nm1027678	tt3691740
nm1027678	tt1528071
nm2115341	tt1808197
nm0568056	tt1099212
nm0568056	tt4062536
nm0000234	tt0340855
nm0000234	tt1392190
nm0000234	tt5610554
nm0000234	tt1735898
nm1802031	tt11905462
nm14168908	tt12718300
nm4817510	tt14088510
nm0180015	tt0071402
nm0180015	tt0085794
nm0180015	tt0081398
nm0180015	tt0077416
nm0215769	tt0385002
nm0215769	tt1731141
nm0215769	tt0831887
nm0215769	tt0377091
nm0092696	tt0316732
nm0092696	tt0292644
nm0092696	tt0356634
nm0226746	tt0099685
nm0226746	tt0095655
nm0226746	tt0108525
nm0226746	tt0105793
nm0156553	tt0108148
nm0688824	tt0120917
nm0688824	tt0104040
nm7163521	tt9586294
nm0006141	tt0108550
nm0006141	tt0089606
nm0006141	tt0088015
nm13852696	tt29383379
nm0890709	tt0162677
nm0890709	tt0116259
nm0890709	tt11271038
nm0890709	tt0113845
nm17345934	tt13451410
nm0004087	tt0243655
nm0004087	tt0185937
nm0111566	tt0054847
nm5235800	tt1972663
nm0000579	tt0411477
nm0000579	tt0167190
nm0448252	tt1605783
nm0448252	tt1226774
nm0448252	tt1195478
nm0448252	tt0100436
nm12654399	tt0123948
nm4342198	tt4195278
nm0105331	tt0023649
nm0790116	tt0892791
nm0790116	tt6587640
nm0790116	tt0268397
nm0790116	tt0158983
nm0130131	tt0068762
nm0130131	tt0082198
nm7301667	tt3881784
nm7301667	tt32843349
nm0954250	tt0068327
nm0954250	tt0088323
nm0954250	tt0089092
nm1099520	tt6146586
nm1099520	tt7286456
nm1099520	tt4425200
nm1099520	tt0838221
nm0004909	tt0259446
nm0004909	tt3760922
nm0004909	tt0204946
nm0451166	tt0073707
nm0702994	tt1320261
nm0402165	tt0088247
nm0402165	tt0137363
nm0402165	tt0096754
nm0402165	tt0097138
nm1250791	tt1825683
nm1250791	tt23561236
nm1250791	tt8652728
nm1250791	tt5834262
nm0415450	tt0083169
nm1854664	tt5688932
nm1854664	tt6802400
nm1854664	tt9784798
nm0546530	tt0100519
nm1825981	tt1950186
nm1825981	tt1517451
nm1825981	tt2005151
nm1069180	tt0479500
nm1069180	tt0765476
nm1069180	tt0419984
nm1069180	tt0462504
nm2675263	tt2852406
nm1074134	tt0423294
nm1074134	tt0119282
nm1074134	tt2224026
nm1074134	tt0230011
nm1795290	tt0376968
nm5290511	tt7149730
nm5290511	tt7349950
nm5290511	tt7740510
nm0073092	tt0087747
nm0059962	tt0057449
nm1128572	tt2294677
nm1128572	tt1781922
nm1128572	tt1411238
nm1128572	tt1230414
nm3120830	tt4084744
nm0899920	tt0072684
nm0899920	tt0120663
nm0899920	tt0081505
nm2754773	tt3427252
nm2754773	tt2180339
nm2754773	tt3741700
nm0090867	tt0106519
nm0090867	tt0086984
nm0090867	tt0989757
nm0090867	tt0387514
nm1963288	tt1825683
nm1963288	tt9114286
nm0005438	tt0295700
nm0005438	tt0112697
nm0005438	tt0303361
nm0005438	tt0120241
nm6018565	tt2910274
nm2997997	tt4815122
nm0204424	tt0133240
nm0204424	tt0133093
nm0204424	tt10838180
nm0204424	tt0811080
nm0090268	tt1508675
nm3479906	tt6537238
nm0640345	tt0482572
nm0640345	tt1291584
nm0640345	tt11214558
nm0640345	tt0349825
nm0366490	tt0083658
nm0366490	tt0088011
nm0366490	tt0083190
nm0366490	tt0067185
nm1749292	tt0429493
nm1749292	tt0119094
nm1749292	tt0117060
nm0002983	tt0120890
nm0712444	tt0138304
nm0712444	tt0270288
nm0610115	tt0053198
nm0610115	tt0054389
nm0388082	tt0099994
nm7652047	tt10733228
nm7652047	tt15434074
nm7652047	tt3742284
nm0490597	tt0386005
nm1486706	tt7374948
nm1486706	tt4652650
nm3255019	tt0381940
nm0463894	tt0051337
nm0642324	tt0311429
nm0642324	tt0116136
nm0642324	tt0227984
nm0642324	tt0137494
nm3596146	tt2389182
nm0415979	tt0120877
nm0415979	tt0099052
nm0415979	tt0089489
nm0415979	tt0119013
nm2440000	tt1142977
nm2440000	tt0121164
nm2440000	tt0327597
nm2440000	tt8337264
nm0497086	tt7713068
nm0497086	tt0089880
nm4928273	tt3892172
nm0944871	tt0758742
nm0944871	tt0100998
nm0944871	tt0810827
nm9904584	tt6921996
nm9904584	tt5789976
nm0401738	tt0117438
nm0401738	tt0049223
